yield.t.ha.,Phosphorus_ppm
9.55787,10
8.88999,9
8.38731,10
9.19583,9
9.83057,9
11.8814,12
10.3574,10
10.1846,11
11.8732,10
11.3368,9
11.5874,13
12.1478,16
12.0739,13
12.6253,14
10.8689,22
13.1255,20
10.0773,11
11.7678,12
12.9483,23
11.5946,15
11.3469,12
9.71826,12
11.6417,11
10.7837,15
11.0528,11
11.8883,28
10.2903,11
11.2276,11
12.0678,22
11.0118,10
12.6492,17
12.3056,18
12.1388,16
11.8458,16
13.1626,16
12.2079,17
12.8668,22
12.3677,19
11.7514,17
12.988,18
13.3305,19
11.3408,19
13.4482,19
12.5382,21
10.0715,14
11.2551,14
13.269,15
10.576,23
10.9829,14
10.5816,20
10.7579,21
11.4871,17
9.02014,38
9.82461,24
7.79481,24
6.13452,38
6.87701,39
7.8566,34
8.66074,35
5.81615,25
7.84231,27
7.82947,31
8.84533,31
10.8371,37
8.59523,39
9.7701,34
11.1871,24
9.61545,23
9.66411,23
5.61749,11
8.83594,11
10.3272,28
9.13551,10
7.78488,11
11.1277,34
10.0057,25
10.9843,37
9.71291,43
7.86934,31
9.08749,30
9.92628,28
10.7,23
10.5077,25
9.8202,22
10.7736,22
10.5242,22
9.25887,19
10.1153,25
10.534,25
8.44391,58
10.8834,29
10.4295,23
11.1124,27
9.30714,18
10.6835,29
10.1474,40
7.47432,35
8.42862,21
10.599,19
7.72042,24
10.8948,29
10.2304,26
8.02867,43
11.0385,24
7.08048,38
5.39648,38
7.17842,52
10.0775,25
6.79905,48
10.7912,21
9.16455,60
8.80846,63
7.75523,63
7.69361,68
8.70184,39
6.68566,68
9.7953,54
9.07118,47
7.86463,74
14.338,31
13.9241,41
13.48,41
16.2124,33
12.6711,41
8.13899,15
9.79714,13
8.72575,13
9.80794,13
9.34985,19
9.7132,16
9.82794,21
9.49352,25
9.60145,17
10.2843,16
9.17315,19
9.25488,21
7.81339,20
7.56483,17
7.68148,17
7.1333,29
8.38441,22
6.96967,14
7.56509,19
7.24669,16
8.23296,24
7.74365,20
7.75104,21
8.35109,17
8.78859,18
8.95555,17
7.97435,18
8.13687,18
6.93269,17
8.95925,19
4.6686,16
9.28301,18
6.18557,19
6.01199,17
8.66825,19
7.55496,32
7.68355,34
5.07827,34
8.30889,25
7.63002,38
8.68234,24
8.99656,24
8.69327,29
7.71543,59
8.84627,40
7.2449,45
9.83521,44
9.36917,40
10.259,46
8.56675,40
9.17261,57
9.20988,48
9.18543,50
8.62094,49
7.64838,36
9.09654,36
8.59755,19
4.27876,23
9.19776,27
7.43039,37
9.09749,34
7.34602,24
10.3801,23
10.5623,26
8.1378,24
2.91193,29
5.26958,29
7.00178,31
7.41902,23
5.3365,26
8.27719,26
6.56289,22
8.37541,26
6.8477,31
7.38187,26
7.63869,34
7.85863,24
7.85619,19
7.60281,16
4.67421,12
4.92704,18
8.04378,23
7.82506,19
7.30759,18
7.98011,25
7.10913,16
8.52561,20
7.65504,63
3.90619,34
8.05748,80
3.62459,37
8.47955,80
8.8059,46
4.80653,37
4.2077,37
8.64675,46
9.06383,43
8.06888,49
9.02603,50
8.09374,16
7.66504,16
6.38371,30
8.78376,29
8.62183,21
8.86652,23
8.10197,34
8.68668,27
8.81978,19
7.91546,30
8.78505,27
8.78639,25
8.72277,29
8.40379,14
7.75683,28
9.05085,25
7.53945,22
7.4099,17
8.62458,60
5.03288,22
8.16266,51
8.48765,38
8.32026,56
8.08848,76
7.75216,64
8.17596,34
6.20097,26
4.38085,26
6.89078,48
6.06656,57
5.896,73
6.15876,64
7.25639,73
7.49367,16
8.57671,17
7.75289,18
7.7799,17
8.13314,15
7.81933,15
7.31622,15
7.9436,14
7.7703,17
6.49332,15
5.13555,17
8.73842,13
6.83605,18
6.83605,18
3.28418,15
4.9562,14
4.9562,14
6.01675,14
5.78196,15
5.78196,15
5.26152,24
4.01546,25
8.1464,18
7.67278,32
6.12103,19
7.74097,18
5.07082,18
7.30359,25
7.48168,19
5.4633,25
7.57362,29
6.30247,30
5.27493,32
3.02639,22
9.52758,20
10.1575,21
5.65836,19
2.97698,29
5.45913,22
6.01318,29
6.20961,26
5.43433,29
5.40234,23
1.12101,26
2.56521,19
7.03448,25
6.41974,36
7.85037,20
8.49914,33
7.75892,24
5.03956,28
6.85925,40
8.06713,51
9.34292,29
8.78103,33
8.40856,22
8.15972,25
5.46728,35
7.66419,38
7.98683,37
7.21385,41
9.10911,36
7.70703,26
8.61416,29
7.93164,25
8.86865,37
8.96779,51
7.73961,20
9.24169,39
8.95136,41
7.65226,20
7.34008,34
9.50994,42
9.24961,45
8.56979,39
8.02852,29
8.68707,34
9.03441,35
8.98617,42
7.4285,39
7.65912,34
8.76729,49
7.78317,43
8.15243,26
7.04616,30
8.95275,24
6.70103,41
5.49343,41
9.18067,26
6.81684,10
6.33943,30
6.66151,30
8.66086,18
8.51489,25
8.48034,33
6.86271,30
8.38651,56
9.21389,49
5.55626,51
8.53533,66
6.85577,54
9.75635,17
7.90589,47
10.9022,19
7.57252,47
7.95812,17
7.57181,48
9.94285,57
7.12731,52
10.9534,29
9.32754,29
9.69303,33
7.49034,25
9.75331,56
9.19035,54
10.0948,23
11.4761,29
7.34179,26
9.9152,33
9.27184,62
9.9812,23
8.7132,71
10.5299,52
8.54569,71
9.50195,38
9.97919,59
10.7008,50
7.95537,48
9.65944,56
10.7864,52
10.3588,50
10.7824,48
8.16932,62
8.19153,32
8.20086,41
7.512,63
7.11684,59
8.63807,54
7.24363,42
9.23901,63
9.61429,43
8.786,65
10.1974,57
7.80842,65
8.63975,64
9.73504,64
9.46189,23
7.84469,38
6.43621,63
9.03521,18
9.27339,34
5.21132,18
9.08557,16
7.38394,61
9.62498,16
7.47015,17
10.1126,16
8.91477,16
8.79157,52
9.24307,38
9.94169,43
8.85843,50
9.76319,22
9.91909,21
8.23138,61
10.2113,40
8.11679,32
9.6882,21
9.60061,26
8.88246,31
8.74164,43
9.34553,20
9.30603,39
9.57972,43
9.19723,26
9.36862,48
8.84148,19
7.87982,46
8.66509,27
7.09614,28
7.28244,20
7.27877,14
9.53938,48
9.93376,29
9.29587,42
8.99904,19
8.36514,21
8.89912,46
8.55202,55
8.59036,27
9.08304,42
8.17146,48
6.64331,29
7.78525,40
9.77389,24
8.75263,33
8.35279,38
8.6052,26
9.12676,35
9.83107,41
10.0076,46
9.09512,39
11.1846,46
11.562,51
6.71318,58
11.1474,49
9.55573,57
6.821,72
10.06,46
8.13959,11
7.9437,15
7.11202,10
6.42858,68
8.85898,36
7.78672,34
9.0387,46
7.1771,68
5.47021,31
10.251,36
7.53881,37
9.01904,53
6.8141,42
9.30969,53
8.94952,31
10.605,46
9.31047,48
10.601,43
9.03932,59
9.39804,57
9.19554,38
10.2009,48
7.54224,60
10.037,33
9.706,33
8.65911,43
14.224,16
12.676,27
13.9519,27
12.0977,20
11.9502,27
12.592,18
10.2719,18
11.5923,12
13.4939,31
14.5091,35
14.1362,105
10.9527,29
11.8223,53
12.2903,47
12.7647,89
11.4499,51
2.66645,64
6.04411,60
10.5337,60
3.95283,23
12.0343,67
13.4984,55
11.5268,56
13.0959,28
13.3357,24
12.3559,27
12.4011,33
14.1592,19
13.0879,24
13.677,24
13.2621,21
11.0325,24
11.4598,21
10.0326,21
10.5129,13
4.06947,41
14.2941,34
6.3225,22
8.03685,67
7.51038,70
8.9491,46
9.49629,54
9.79398,37
9.84867,27
9.98494,44
9.99164,44
8.86621,19
10.1609,30
10.188,19
7.11059,71
10.6742,30
9.10607,18
8.99423,15
9.32753,31
9.5752,33
9.31269,19
7.93391,24
8.77413,30
8.79447,29
7.41523,33
8.13161,15
8.53471,17
8.38972,27
8.66608,13
8.12082,20
8.95752,15
7.58657,18
8.75191,24
8.19958,18
6.97065,22
5.96781,14
6.53927,10
7.80442,14
9.27246,18
9.11339,25
9.0837,71
8.31963,17
8.49888,29
7.98704,30
8.20666,14
8.45973,42
8.41865,29
8.1965,18
8.78826,18
8.34342,42
8.6516,16
6.84625,18
8.95494,16
7.51643,27
8.90719,14
8.07004,12
8.61696,23
9.18385,17
7.32442,23
8.88965,12
8.62508,12
7.18159,7
7.47241,7
7.02745,8
7.58272,28
7.70532,7
7.60094,9
8.44977,16
8.27748,7
7.20992,29
7.02299,11
8.07571,9
7.97212,10
8.89471,14
8.71194,12
8.74016,10
3.4291,10
8.36336,7
7.51441,17
6.18145,10
4.76621,14
7.54022,11
7.11741,14
7.74282,14
8.73192,8
7.11582,13
5.97791,18
5.08852,14
6.10108,13
7.14653,35
5.05407,32
6.84879,30
6.3409,35
8.03946,22
9.98591,22
7.25169,30
9.87797,30
9.42541,16
9.93452,26
9.20738,28
9.92434,28
9.02727,34
9.4853,23
9.05593,29
9.64423,12
9.25755,25
9.12445,26
9.88664,25
9.27037,25
9.06827,38
9.37607,32
8.73402,40
9.37263,27
8.80666,38
8.14481,47
8.7365,31
7.92937,35
8.79288,12
9.41944,15
9.06112,18
9.87797,18
9.25143,13
8.81687,18
9.35706,21
9.68245,18
8.54969,33
9.50702,30
9.06135,18
8.21033,33
9.62934,33
8.87632,21
8.73627,37
9.83599,32
8.53409,19
9.90946,23
8.27712,12
9.44204,27
8.1889,19
9.00908,19
8.54231,19
9.7897,38
8.55191,17
9.10412,32
8.24687,17
7.30291,40
8.44818,19
8.2446,40
6.39461,38
9.30562,17
7.76502,15
9.3388,17
7.35491,20
8.125,20
7.05851,23
7.80902,21
8.5289,21
8.71657,18
10.2235,39
8.02027,44
7.83854,18
7.50828,21
9.78355,66
10.559,20
9.41323,44
7.80398,26
7.9588,19
9.9536,23
8.30819,19
10.6393,15
8.55905,13
8.38084,10
10.4696,12
7.60156,12
8.12619,13
10.5326,14
8.25587,7
7.62354,13
7.70678,11
8.21583,9
8.32223,9
9.48781,19
9.99618,19
10.4276,19
9.10921,14
9.85312,17
9.67308,18
9.11683,30
11.5528,35
11.1578,36
11.1004,33
10.5099,50
9.05873,15
9.82837,18
9.47073,18
8.1205,18
9.61602,23
9.29202,23
10.2726,17
9.85,17
9.68629,21
9.20105,18
9.75443,12
10.3215,19
10.0329,15
9.6592,14
10.7994,18
10.0692,18
9.92564,22
9.66794,17
9.3454,18
10.2894,14
9.96409,15
10.2715,15
10.0639,18
10.1962,12
10.1881,19
9.86048,15
9.74642,13
10.1321,14
10.4189,21
8.96911,13
9.81359,13
10.4423,21
9.43867,22
10.4006,26
9.82491,22
10.425,21
11.2633,11
9.56966,19
9.25878,30
9.55678,15
9.71049,19
10.1295,18
9.96793,21
10.3234,25
9.77226,25
10.2511,14
9.8106,30
11.1679,9
9.47352,15
9.44915,39
9.8586,13
10.2692,31
10.2466,11
10.3088,24
10.1346,14
9.73104,26
11.0408,19
9.73103,12
8.22055,26
5.58909,19
9.91946,19
10.8223,10
10.8065,9
9.42983,23
8.25482,29
8.61576,19
10.4737,18
8.31264,19
8.72169,26
9.69412,21
9.60301,26
9.37542,29
9.80928,38
9.71006,29
9.72722,37
10.1254,11
10.3235,15
10.5587,16
8.41944,21
9.27847,29
9.93789,34
8.60023,32
10.4364,12
9.44648,50
9.2541,32
9.73335,26
9.90855,10
9.28672,9
9.71437,29
9.49408,29
10.8194,13
6.88885,26
7.88451,26
9.40213,24
8.91477,10
9.20268,9
7.48867,20
9.03522,25
9.72695,18
10.2915,14
9.38429,25
9.58461,21
9.43723,17
10.4025,28
8.68232,22
9.34437,22
7.97844,12
8.64417,28
10.3195,28
3.74103,21
7.27474,13
7.12598,12
8.3068,13
6.73642,16
10.0113,17
8.38541,11
7.46881,11
8.71094,14
8.50472,14
5.0923,21
8.64737,14
9.1927,16
8.639,16
9.55374,11
7.60414,16
8.44106,17
7.5681,31
8.10188,31
6.79284,31
7.69396,26
8.60703,26
9.01873,35
8.70745,25
6.45993,24
7.16369,24
