"yield.t.ha.","Phosphorus_ppm"
9.55787,10
8.88999,9
11.8814,12
10.3574,10
12.6253,14
11.6417,11
10.2903,11
13.1626,16
12.5382,21
10.0715,14
11.2551,14
13.269,15
10.9829,14
9.02014,38
8.66074,35
8.59523,39
10.534,25
8.44391,58
10.8834,29
7.86463,74
16.2124,33
9.79714,13
9.17315,19
7.81339,20
8.23296,24
7.74365,20
8.78859,18
8.95925,19
8.66825,19
8.69327,29
9.36917,40
8.59755,19
9.09749,34
6.56289,22
6.8477,31
7.38187,26
7.63869,34
7.85863,24
4.67421,12
4.92704,18
7.82506,19
3.90619,34
8.64675,46
7.66504,16
8.78376,29
8.81978,19
8.78639,25
8.40379,14
6.20097,26
7.7799,17
8.13314,15
7.9436,14
7.7703,17
5.78196,15
7.30359,25
7.48168,19
5.4633,25
3.02639,22
5.65836,19
2.97698,29
5.43433,29
7.85037,20
7.75892,24
8.15972,25
7.21385,41
9.10911,36
8.96779,51
7.73961,20
7.65226,20
7.34008,34
9.50994,42
8.02852,29
9.03441,35
8.98617,42
7.4285,39
5.49343,41
9.18067,26
6.81684,10
8.51489,25
8.53533,66
7.95812,17
7.57181,48
9.69303,33
9.75331,56
10.0948,23
7.34179,26
9.27184,62
8.7132,71
10.5299,52
7.95537,48
10.7824,48
8.16932,62
7.11684,59
8.63975,64
9.73504,64
5.21132,18
9.08557,16
10.1126,16
9.91909,21
10.2113,40
9.34553,20
9.57972,43
9.19723,26
8.84148,19
7.28244,20
9.53938,48
9.29587,42
8.99904,19
8.89912,46
8.55202,55
8.59036,27
8.17146,48
11.562,51
11.1474,49
6.821,72
10.06,46
6.42858,68
9.01904,53
9.39804,57
10.2009,48
10.037,33
12.676,27
12.0977,20
12.7647,89
2.66645,64
6.04411,60
10.5337,60
14.1592,19
11.0325,24
10.0326,21
4.06947,41
9.84867,27
10.1609,30
10.188,19
10.6742,30
9.10607,18
9.32753,31
8.38972,27
8.45973,42
8.88965,12
8.27748,7
8.07571,9
7.51441,17
4.76621,14
7.74282,14
5.05407,32
8.03946,22
9.42541,16
9.93452,26
9.92434,28
9.37263,27
8.80666,38
8.7365,31
7.92937,35
9.50702,30
9.83599,32
9.90946,23
7.30291,40
9.30562,17
8.125,20
10.2235,39
8.30819,19
10.6393,15
10.4696,12
7.60156,12
7.62354,13
7.70678,11
9.10921,14
9.67308,18
11.5528,35
11.1578,36
11.1004,33
9.82837,18
9.47073,18
9.61602,23
9.29202,23
9.96409,15
10.1881,19
9.86048,15
10.4189,21
10.4423,21
10.1295,18
10.2511,14
11.1679,9
9.47352,15
10.3088,24
10.8065,9
9.42983,23
8.31264,19
9.93789,34
10.4364,12
9.49408,29
9.03522,25
9.58461,21
8.68232,22
7.97844,12
8.64417,28
3.74103,21
8.71094,14
6.72921,19
7.54469,32
6.79167,22
7.38836,47
7.69348,38
8.47151,17
8.4637,26
9.2149,21
8.7017,29
7.19264,25
8.21252,15
9.65,32
10.4958,20
9.70619,17
10.6982,25
9.9407,31
10.3321,20
10.5085,25
10.2388,38
6.65428,12
9.7829,25
10.8842,28
8.30087,14
9.58131,30
7.58285,21
9.99678,20
9.44838,18
8.08613,16
8.10015,18
9.89422,24
9.75466,29
8.80203,20
7.79929,11
5.31893,10
9.2458,22
9.76867,67
9.0806,14
7.96271,12
9.5696,17
4.72376,13
8.33568,6
8.68632,17
9.37479,17
8.80283,14
8.15115,6
9.94088,26
8.74476,26
8.43622,17
10.5317,23
10.7143,27
10.3341,23
7.0373,26
6.50659,17
8.86818,29
6.84807,17
10.1454,21
10.1847,20
8.99442,35
9.11171,26
8.1858,17
9.46811,16
9.76995,13
9.0387,15
9.24724,12
10.2944,14
8.82877,22
10.6849,31
8.5237,29
10.4377,14
10.8008,28
9.73435,21
9.75431,33
9.98543,19
8.01129,30
9.83916,26
10.9038,19
9.43662,19
11.5449,18
11.5929,15
10.0002,31
10.2323,31
9.216,16
10.1706,20
8.46639,37
9.22722,40
10.4317,27
10.3623,21
9.44077,29
8.28767,30
9.79897,31
9.95705,24
8.35402,45
11.0189,22
9.61343,29
11.1069,22
9.9117,17
9.29337,28
10.8078,22
9.36133,25
8.63897,19
10.8343,16
10.3092,17
11.5096,25
10.0644,17
9.60637,20
9.21005,13
10.5994,10
9.88277,18
9.79891,7
9.76731,7
9.50886,23
9.40676,24
9.15885,10
8.62291,19
7.52102,36
9.54161,28
8.48425,15
7.27199,10
11.6845,12
9.61378,12
8.64756,39
10.3491,13
10.9534,10
10.7658,12
10.6556,68
10.8614,10
11.2066,58
10.6701,22
11.3332,58
8.42436,12
8.27947,28
12.506,41
10.8102,31
8.55378,22
7.72444,23
10.9312,60
8.74104,40
11.5759,41
8.71271,26
8.22757,27
9.95814,22
9.08845,35
13.225,29
11.8501,24
10.6002,23
10.4096,55
8.35289,34
8.61424,30
8.47321,26
10.9051,24
10.2725,10
11.3813,61
10.9141,33
9.7262,11
10.4995,12
9.31844,22
10.1689,23
10.9629,55
9.53294,31
9.38554,27
8.62016,31
7.28166,20
10.2339,18
9.1381,14
9.48574,42
10.5136,21
10.5582,57
10.526,14
9.23974,34
10.5621,43
10.7228,31
9.62121,42
10.8976,57
8.47358,43
9.75946,10
7.86098,29
8.50456,27
10.3697,54
10.4728,11
10.4474,31
7.79573,43
10.6477,22
9.99305,27
8.52661,22
10.2195,39
7.84059,33
10.7512,31
8.99031,41
10.3401,41
8.92782,12
12.4045,17
10.0893,32
6.78278,42
9.40833,38
9.1562,48
10.9995,13
8.58651,14
13.0386,15
11.5967,16
9.74841,39
11.6048,22
10.9907,16
9.90236,13
8.95905,52
10.2493,12
9.8352,13
10.641,26
12.0353,24
8.76883,34
9.96018,35
10.92,31
10.569,37
11.6576,14
10.6788,14
8.58093,39
12.2798,21
10.5572,22
4.59889,24
8.63606,20
10.582,13
13.2967,11
8.62296,25
14.1517,16
10.7387,16
9.51658,31
10.3063,12
7.61589,16
13.5808,24
8.51578,11
10.4834,20
12.3458,18
10.4665,20
8.46354,38
13.4334,20
10.0278,26
7.042,20
8.54924,23
12.0891,14
8.67181,25
6.56069,34
8.74703,45
9.8566,24
9.63565,26
9.37726,34
8.88015,35
8.34983,29
9.77749,32
8.54519,15
7.41359,26
9.62978,21
9.41406,32
8.59753,9
8.82938,17
10.6521,22
9.77598,18
6.88005,33
9.69583,9
9.14386,35
9.6983,30
11.7179,22
9.23564,23
10.6931,36
9.75903,49
10.275,23
8.34365,36
8.7793,26
11.6985,39
10.1034,22
6.24596,28
10.5129,20
9.88755,27
10.3606,28
10.0985,23
9.46502,38
9.24823,28
7.1264,30
8.73473,28
14.4321,32
12.5057,54
10.2578,29
9.15351,60
10.0796,24
10.0096,34
9.6406,30
7.55453,43
8.36116,37
14.0946,50
11.7204,47
10.263,26
10.5822,41
9.66368,51
5.82713,34
11.9434,40
11.7198,38
9.97105,69
9.82277,69
10.0229,56
9.67941,51
10.1125,74
8.90782,96
9.83286,52
11.1311,53
10.7023,29
10.2681,82
9.79465,77
9.36214,17
10.2413,40
7.69819,50
10.4256,53
8.78507,13
6.4971,32
14.1888,20
10.2733,27
9.67165,37
10.197,23
10.2024,16
9.2364,36
10.2822,27
9.9279,12
8.63293,15
10.1471,15
9.95006,19
9.66033,22
9.07018,38
13.7352,18
10.275,23
8.06932,10
13.3452,20
7.32233,16
6.1168,35
9.27016,39
10.8237,70
8.82891,18
9.70496,22
9.13862,47
9.62991,21
9.63653,16
7.53538,22
6.75934,14
13.6381,35
7.92535,21
9.3023,11
6.78277,51
12.4093,94
13.2001,35
9.05609,21
12.6075,71
11.6719,27
13.4694,22
11.1051,84
7.10317,53
10.8641,63
10.1539,40
9.00838,16
6.51122,34
9.06086,16
11.4885,18
7.73939,27
10.0718,28
10.6989,16
6.94139,21
9.56061,14
7.24195,17
8.94472,14
9.52359,17
7.10866,17
7.28671,33
8.84421,16
7.40645,15
8.01254,34
8.13245,17
7.68483,40
6.94104,32
8.24104,44
6.06276,13
6.81149,42
7.34374,12
9.63217,24
10.0418,38
8.13414,28
10.7702,25
7.22026,14
9.82325,14
9.5759,17
10.1619,23
11.313,42
8.10253,16
3.61304,22
8.11411,24
7.8698,26
10.577,18
9.33654,15
8.63383,14
10.5088,22
9.77912,12
8.37739,22
9.39657,16
10.6131,19
10.9528,16
10.7049,18
10.7049,18
11.2238,21
10.9974,21
10.6394,40
10.4113,16
9.91865,26
10.0518,22
10.5404,26
12.1304,27
10.1907,25
9.20022,19
12.2806,10
9.55085,40
9.59101,22
7.01661,10
8.39894,11
6.04999,14
7.62055,12
8.69926,12
6.35219,25
7.81826,15
10.5186,30
7.33765,22
7.57319,21
6.42834,19
6.96972,33
7.30102,14
8.0302,33
6.98321,32
7.6896,18
9.32391,16
8.82466,18
7.00575,18
8.23892,38
7.38611,25
8.35616,27
8.63191,24
8.35313,29
11.7386,58
7.19965,23
7.41508,19
8.17857,15
8.41441,21
7.63827,15
5.6002,20
5.93032,30
5.94777,14
10.5221,20
7.89499,21
7.58997,21
9.36953,19
7.92119,17
8.65642,18
8.63904,21
6.54586,33
9.16819,16
8.90801,18
9.73441,31
3.93905,16
9.32984,39
10.1054,18
8.79383,31
8.78265,5
5.30266,26
9.66174,18
7.66014,15
8.98096,30
6.4385,14
7.91848,18
9.96106,21
10.6777,25
9.75107,14
9.59172,16
9.61385,31
10.7997,22
8.83058,22
9.07774,32
10.4568,21
9.95531,27
10.7111,26
10.0701,21
10.1754,30
10.835,31
8.86249,30
8.70108,27
9.91831,27
9.34203,24
9.8376,25
8.19928,30
10.4895,31
10.9884,30
11.4427,28
10.2637,32
7.37522,21
10.5643,34
11.0875,8
6.87754,39
11.5438,34
4.83655,47
9.46539,19
7.25945,57
10.8319,11
10.1491,9
9.77128,62
11.2557,10
7.3974,19
7.08958,19
12.3155,21
11.0244,20
8.64231,78
7.46274,22
10.6197,24
9.05038,41
12.8223,24
12.0136,28
12.076,23
11.6622,11
10.349,59
9.39101,35
13.3818,62
7.1622,25
7.83486,51
8.08158,52
11.7497,40
9.74882,36
9.04934,98
8.86073,27
7.56556,72
6.06658,103
5.20366,39
9.64562,41
10.8996,28
9.24281,16
9.19059,17
7.63445,17
8.05176,17
7.84735,35
8.76761,13
8.14595,26
9.04156,32
9.56531,34
10.5084,39
9.98958,23
8.33651,13
10.1708,34
11.0821,27
11.3612,30
7.84546,40
10.3733,23
11.3231,39
11.6604,32
7.85454,11
11.0603,35
10.2215,16
8.83463,24
8.13105,32
6.30732,22
8.2662,20
8.21305,29
9.56599,20
8.60676,22
9.84068,21
9.30577,38
10.3627,43
8.90659,61
10.6864,38
9.6144,38
6.21695,99
10.0934,39
8.91136,58
9.7912,14
8.00184,52
9.1728,40
9.70995,37
7.89654,40
10.2118,28
6.83386,19
11.0337,29
10.0208,27
7.98048,50
9.61784,53
9.88725,17
8.50057,26
7.33524,12
8.94278,31
8.45017,31
7.52277,30
8.54298,12
10.7998,33
7.24788,12
11.8443,40
8.12194,21
7.55809,32
8.11796,62
9.74684,19
9.20789,20
8.04553,34
9.68292,19
8.22584,32
8.73464,40
8.23943,40
9.58325,19
10.054,14
11.1716,17
9.09773,41
9.79876,14
9.47311,21
9.11717,20
9.95527,29
9.06091,38
11.5708,17
8.07637,55
10.2698,25
8.54276,61
7.8478,38
9.31574,17
8.14299,31
10.4404,30
9.95047,29
10.1132,20
8.42912,30
10.1551,36
8.06297,30
9.87522,30
10.2035,50
8.05109,33
10.6734,30
9.1352,30
10.0981,62
10.2746,29
11.6644,31
6.6339,23
9.05022,40
7.99486,30
7.96147,30
9.18903,32
10.1322,65
9.39059,36
8.231,17
9.76116,41
8.64944,23
9.52768,27
8.15341,31
8.59033,30
9.40632,17
7.71194,27
8.29,25
9.22109,26
9.87033,30
9.24539,12
7.68518,24
9.60202,75
